tanggal,tweet,skor,label,tweet_baku,tweet_tokens,stemmed,detoken_stem,rand
1/10/2021 7:16,b'Apa cuma gue yang takut kena vaksin covid-19 karena jarumnya besar\xf0\x9f\x98\x9f\n#vaksincovid19',-1,negatif,apa cuma aku yang takut kena vaksin covid karena jarumnya besar,"['apa', 'cuma', 'aku', 'yang', 'takut', 'kena', 'vaksin', 'covid', 'karena', 'jarumnya', 'besar']","['apa', 'cuma', 'aku', 'yang', 'takut', 'kena', 'vaksin', 'covid', 'karena', 'jarum', 'besar']",apa cuma aku yang takut kena vaksin covid karena jarum besar,0.286385189
1/14/2021 10:52,"b'Loh di vaksin bukannya untuk mencegah, sejak kapan vaksin bikin kebal?? Kalo gini ya percuma di vaksin tapi tetep b\xe2\x80\xa6 https://t.co/yxHFFKFIAh'",-1,negatif,loh divaksin bukannya untuk mencegah sejak kapan vaksin bikin kebal kalau begini ya percuma divaksin,"['loh', 'divaksin', 'bukannya', 'untuk', 'mencegah', 'sejak', 'kapan', 'vaksin', 'bikin', 'kebal', 'kalau', 'begini', 'ya', 'percuma', 'divaksin']","['loh', 'vaksin', 'bukan', 'untuk', 'cegah', 'sejak', 'kapan', 'vaksin', 'bikin', 'kebal', 'kalau', 'begini', 'ya', 'percuma', 'vaksin']",loh vaksin bukan untuk cegah sejak kapan vaksin bikin kebal kalau begini ya percuma vaksin,0.415997681
1/14/2021 8:59,"b'Masalah vaksin kok masih simpang siur, belum terlalu pasti. Efikasi vaksin aja bisa berubah2, gimana rakyat gak ragu.'",-1,negatif,masalah vaksin kok masih simpang siur belum terlalu pasti efikasi vaksin saja bisa berubah bagaimana rakyat tidak ragu,"['masalah', 'vaksin', 'kok', 'masih', 'simpang', 'siur', 'belum', 'terlalu', 'pasti', 'efikasi', 'vaksin', 'saja', 'bisa', 'berubah', 'bagaimana', 'rakyat', 'tidak', 'ragu']","['masalah', 'vaksin', 'kok', 'masih', 'simpang', 'siur', 'belum', 'terlalu', 'pasti', 'efikasi', 'vaksin', 'saja', 'bisa', 'ubah', 'bagaimana', 'rakyat', 'tidak', 'ragu']",masalah vaksin kok masih simpang siur belum terlalu pasti efikasi vaksin saja bisa ubah bagaimana rakyat tidak ragu,0.051234249
1/15/2021 3:21,b'@CNNIndonesia Jadi habis di vaksin bebas nongkrong??',-1,negatif,jadi habis divaksin bebas nongkrong,"['jadi', 'habis', 'divaksin', 'bebas', 'nongkrong']","['jadi', 'habis', 'vaksin', 'bebas', 'nongkrong']",jadi habis vaksin bebas nongkrong,0.000164371
1/14/2021 13:08,"b'Mana si babeh udahnya ga percaya vaksin, ga percaya dokter juga jd dah kek gitu kasusnya ga dibawa ke dokter (PUSIN\xe2\x80\xa6 https://t.co/4j7rHYot0N'",-1,negatif,bapak sudah tidak percaya vaksin tidak percaya dokter juga jadi begitu kasusnya tidak dibawa ke dokter,"['bapak', 'sudah', 'tidak', 'percaya', 'vaksin', 'tidak', 'percaya', 'dokter', 'juga', 'jadi', 'begitu', 'kasusnya', 'tidak', 'dibawa', 'ke', 'dokter']","['bapak', 'sudah', 'tidak', 'percaya', 'vaksin', 'tidak', 'percaya', 'dokter', 'juga', 'jadi', 'begitu', 'kasus', 'tidak', 'bawa', 'ke', 'dokter']",bapak sudah tidak percaya vaksin tidak percaya dokter juga jadi begitu kasus tidak bawa ke dokter,0.648838487
1/14/2021 17:13,b'SINOVAC | Siap Nolak Vaksin\n#IslamBangkitlahJanganDIAM \n#IslamBangkitlahJanganDIAM https://t.co/YKVm7fiE4P',-1,negatif,sinovac siap tolak vaksin,"['sinovac', 'siap', 'tolak', 'vaksin']","['sinovac', 'siap', 'tolak', 'vaksin']",sinovac siap tolak vaksin,0.254157621
1/15/2021 5:09,"b'@OposisiCerdas Seharusnya mereka sdh bebas berkerumun, mereka kan sdh di vaksin?,'",-1,negatif,seharusnya mereka sudah bebas berkerumun mereka kan sudah divaksin,"['seharusnya', 'mereka', 'sudah', 'bebas', 'berkerumun', 'mereka', 'kan', 'sudah', 'divaksin']","['harus', 'mereka', 'sudah', 'bebas', 'kerumun', 'mereka', 'kan', 'sudah', 'vaksin']",harus mereka sudah bebas kerumun mereka kan sudah vaksin,0.737953151
1/13/2021 1:24,"b'Banyak orang bertanya, kok efikasinya lebih rendah daripada yang di Turki atau Brazil ya? Kok lebih rendah dari vak\xe2\x80\xa6 https://t.co/2JhqDMrwY4'",-1,negatif,banyak orang bertanya kok efikasinya lebih rendah daripada yang di turki atau brazil ya,"['banyak', 'orang', 'bertanya', 'kok', 'efikasinya', 'lebih', 'rendah', 'daripada', 'yang', 'di', 'turki', 'atau', 'brazil', 'ya']","['banyak', 'orang', 'tanya', 'kok', 'efikasinya', 'lebih', 'rendah', 'daripada', 'yang', 'di', 'turki', 'atau', 'brazil', 'ya']",banyak orang tanya kok efikasinya lebih rendah daripada yang di turki atau brazil ya,0.185510959
1/14/2021 13:44,"b'@chiefbams @iic_a @Alhaqq51399 Benar, saat ini vaksin belum terbukti mampu mencegah kemasukan virus, tapi kalaupun\xe2\x80\xa6 https://t.co/fLZdyXSd2v'",-1,negatif,benar saat ini vaksin belum terbukti mampu mencegah kemasukan virus,"['benar', 'saat', 'ini', 'vaksin', 'belum', 'terbukti', 'mampu', 'mencegah', 'kemasukan', 'virus']","['benar', 'saat', 'ini', 'vaksin', 'belum', 'bukti', 'mampu', 'cegah', 'masuk', 'virus']",benar saat ini vaksin belum bukti mampu cegah masuk virus,0.526331805
1/11/2021 12:45,b'RT @BankBTNcoid: Masih ragu dengan Vaksin,-1,negatif,masih ragu dengan vaksin,"['masih', 'ragu', 'dengan', 'vaksin']","['masih', 'ragu', 'dengan', 'vaksin']",masih ragu dengan vaksin,0.583131257
