,tanggal,tweet,label,tweet_baku,detoken_stem
1,1/12/2021 12:28,b'RT @alamsyahrp08: Vaksin gratis HALAH KONTOL smua itu..Fir'aun dpercaya. Murtad aj kalian BANGSAT..',negatif,vaksin tidak gratis halah kontol semua itu firaun dipercaya mau saja kalian bangsat,vaksin tidak gratis halah kontol semua itu firaun percaya mau saja kalian bangsat
2,1/12/2021 8:39,"b'RT @republikaonline: 'Saya pertama menolak vaksin, kalau dipaksa, pelanggaran HAM. Nggak boleh maksa.' https://t.co/XTqjGBlzyR'",negatif,saya pertama menolak vaksin kalau dipaksa pelanggaran ham tidak boleh memaksa,saya pertama tolak vaksin kalau paksa langgar ham tidak boleh paksa
3,1/11/2021 8:18,"b'RT @Tatsuya_08_09: @CNNIndonesia Kok maksa,apakah memang sudah yakin 100% manjur vaksinya'",negatif,kok memaksa apakah memang sudah yakin manjur vaksinnya,kok paksa apakah memang sudah yakin manjur vaksin
4,1/11/2021 23:47,b'RT @wank37: @geloraco Jangan main ancam pakai sanksi' buktikan juga jika anda berani di vaksin yg sama .',negatif,jangan main ancam pakai sanksi buktikan juga jika anda berani divaksin yang sama,jangan main ancam pakai sanksi bukti juga jika anda berani vaksin yang sama
5,1/11/2021 14:44,b'@penyejuk_hati_ Nyatanya di grup rt saya ibu2nya masih gencar bilang vaksin ini berbahaya sampai bisa buat manusia mati\xe2\x80\xa6 https://t.co/R1ykioUo3F',negatif,kenyataannya di grup saya ibunya masih gencar bilang vaksin ini berbahaya sampai bisa buat manusia mati,nyata di grup saya ibu masih gencar bilang vaksin ini bahaya sampai bisa buat manusia mati
6,1/10/2021 7:16,b'Apa cuma gue yang takut kena vaksin covid-19 karena jarumnya besar\xf0\x9f\x98\x9f\n#vaksincovid19',negatif,apa cuma aku yang takut kena vaksin covid karena jarumnya besar,apa cuma aku yang takut kena vaksin covid karena jarum besar
7,1/12/2021 8:09,b'Apakah kita terlalu bodoh atau terlalu kaya membeli vaksin yg belum tentu kemanjurannya.. yang membuat vaksin saja masih Terdampak Corona... ?????',negatif,apakah kita terlalu bodoh atau terlalu kaya membeli vaksin yang belum tentu kemanjurannya yang membuat vaksin saja masih terdampak corona,apakah kita terlalu bodoh atau terlalu kaya beli vaksin yang belum tentu manjur yang buat vaksin saja masih dampak corona
8,1/11/2021 6:07,"b'Dapet 90% dari mana ya dok? Kita butuh data, bukan opini publik. Sebab itu kami ragu.'",negatif,dapat dari mana ya dok kita butuh data bukan opini publik sebab itu kami ragu,dapat dari mana ya dok kita butuh data bukan opini publik sebab itu kami ragu
9,1/10/2021 11:38,"b'gak usah harus jd orang pintar utk memahami ini,klao vakksin beli dr china logikanya gak akan meledak wabah virus covid di china,artinya veksin dr china gak manjurÂ'",negatif,tidak usah harus jadi orang pintar untuk memahami ini kalau vaksin beli dari cina logikanya tidak akan meledak wabah virus covid di cinanya vaksin dari cina tidak manjur,tidak usah harus jadi orang pintar untuk paham ini kalau vaksin beli dari cina logika tidak akan ledak wabah virus covid di cina vaksin dari cina tidak manjur
10,1/13/2021 4:41,b'Inget jangan langsng mudah percaya yang disuntikan ke kepala negara itu bener vaksin \n\n#Vaksin #vaksincovid19',negatif,ingat jangan langsung mudah percaya yang disuntikkan ke kepala negara itu tidak benar vaksin,ingat jangan langsung mudah percaya yang suntik ke kepala negara itu tidak benar vaksin
11,1/13/2021 2:55,b'Itu mah lagi imunisasi biar berisi badan nya. Bukan lagi disuntik vaksin Covid-19 #vaksincovid19 #DiskonKilatGrabFood #KondangBalikLagi',negatif,itu lagi imunisasi biar berisi badannya tidak lagi disuntik vaksin covid,itu lagi imunisasi biar isi badan tidak lagi suntik vaksin covid
12,1/12/2021 2:07,"b'Jujur saya pribadi dan keluarga saya nggak mau disuntik vaksin sinovac ,takut nanti selesai disuntik vaksin malah mati sekeluarga kecuali keluarga presiden dan keluarga wakil presiden dan seluruh pejabat kementerian dan seluruh TNI polri disuntik vaksin baru saya nggak mau juga ,'",negatif,jujur saya pribadi dan keluarga saya tidak mau disuntik vaksin sinovac takut nanti selesai disuntik vaksin malah mati sekeluarga kecuali keluarga presiden dan keluarga wakil presiden dan seluruh pejabat kementerian dan seluruh tni polri disuntik vaksin baru saya tidak mau juga,jujur saya pribadi dan keluarga saya tidak mau suntik vaksin sinovac takut nanti selesai suntik vaksin malah mati keluarga kecuali keluarga presiden dan keluarga wakil presiden dan seluruh jabat menteri dan seluruh tni polri suntik vaksin baru saya tidak mau juga
13,1/13/2021 3:01,b'Kata anggota @DPR_RI dari @PDIPerjuangan hati\xc2\xb2 ama #vaksincovid19. Mending didenda daripada divaksin.\n\nPak @jokowi\xe2\x80\xa6 https://t.co/iDl0wC0txA',negatif,kata anggota dari hati mending didenda daripada divaksin pak,kata anggota dari hati mending denda daripada vaksin pak
14,1/11/2021 6:10,b'Lihat judul berita jadi pesimis sama vaksin.,negatif,lihat judul berita jadi pesimis sama vaksin,lihat judul berita jadi pesimis sama vaksin
